category,name,kind,mlir_name,generated,emitted,lowered,test
expr,TupleItem,ASR_DIALECT_OP_EXPR_TUPLEITEM,asr.tuple_item,yes,yes,unsupported,no
expr,TupleLen,ASR_DIALECT_OP_EXPR_TUPLELEN,asr.tuple_len,yes,yes,unsupported,no
expr,TypeInquiry,ASR_DIALECT_OP_EXPR_TYPEINQUIRY,asr.type_inquiry,yes,yes,unsupported,no
expr,UnionConstructor,ASR_DIALECT_OP_EXPR_UNIONCONSTRUCTOR,asr.union_constructor,yes,yes,unsupported,no
expr,UnionInstanceMember,ASR_DIALECT_OP_EXPR_UNIONINSTANCEMEMBER,asr.union_instance_member,yes,yes,unsupported,no
expr,UnsignedIntegerBinOp,ASR_DIALECT_OP_EXPR_UNSIGNEDINTEGERBINOP,asr.unsigned_integer_bin_op,yes,yes,unsupported,no
expr,UnsignedIntegerBitNot,ASR_DIALECT_OP_EXPR_UNSIGNEDINTEGERBITNOT,asr.unsigned_integer_bit_not,yes,yes,unsupported,no
expr,UnsignedIntegerCompare,ASR_DIALECT_OP_EXPR_UNSIGNEDINTEGERCOMPARE,asr.unsigned_integer_compare,yes,yes,unsupported,no
expr,UnsignedIntegerConstant,ASR_DIALECT_OP_EXPR_UNSIGNEDINTEGERCONSTANT,asr.unsigned_integer_constant,yes,yes,unsupported,no
expr,UnsignedIntegerUnaryMinus,ASR_DIALECT_OP_EXPR_UNSIGNEDINTEGERUNARYMINUS,asr.unsigned_integer_unary_minus,yes,yes,unsupported,no
expr,Var,ASR_DIALECT_OP_EXPR_VAR,asr.var,yes,yes,implemented,focus
omp_clause,OMPCollapse,ASR_DIALECT_OP_OMP_CLAUSE_OMPCOLLAPSE,asr.o_m_p_collapse,yes,yes,unsupported,no
omp_clause,OMPDevice,ASR_DIALECT_OP_OMP_CLAUSE_OMPDEVICE,asr.o_m_p_device,yes,yes,unsupported,no
omp_clause,OMPFirstPrivate,ASR_DIALECT_OP_OMP_CLAUSE_OMPFIRSTPRIVATE,asr.o_m_p_first_private,yes,yes,unsupported,no
omp_clause,OMPIf,ASR_DIALECT_OP_OMP_CLAUSE_OMPIF,asr.o_m_p_if,yes,yes,unsupported,no
omp_clause,OMPLastPrivate,ASR_DIALECT_OP_OMP_CLAUSE_OMPLASTPRIVATE,asr.o_m_p_last_private,yes,yes,unsupported,no
omp_clause,OMPMap,ASR_DIALECT_OP_OMP_CLAUSE_OMPMAP,asr.o_m_p_map,yes,yes,unsupported,no
omp_clause,OMPNowait,ASR_DIALECT_OP_OMP_CLAUSE_OMPNOWAIT,asr.o_m_p_nowait,yes,yes,unsupported,no
omp_clause,OMPNumTeams,ASR_DIALECT_OP_OMP_CLAUSE_OMPNUMTEAMS,asr.o_m_p_num_teams,yes,yes,unsupported,no
omp_clause,OMPNumThreads,ASR_DIALECT_OP_OMP_CLAUSE_OMPNUMTHREADS,asr.o_m_p_num_threads,yes,yes,unsupported,no
omp_clause,OMPPrivate,ASR_DIALECT_OP_OMP_CLAUSE_OMPPRIVATE,asr.o_m_p_private,yes,yes,unsupported,no
omp_clause,OMPReduction,ASR_DIALECT_OP_OMP_CLAUSE_OMPREDUCTION,asr.o_m_p_reduction,yes,yes,unsupported,no
omp_clause,OMPSchedule,ASR_DIALECT_OP_OMP_CLAUSE_OMPSCHEDULE,asr.o_m_p_schedule,yes,yes,unsupported,no
omp_clause,OMPShared,ASR_DIALECT_OP_OMP_CLAUSE_OMPSHARED,asr.o_m_p_shared,yes,yes,unsupported,no
omp_clause,OMPThreadLimit,ASR_DIALECT_OP_OMP_CLAUSE_OMPTHREADLIMIT,asr.o_m_p_thread_limit,yes,yes,unsupported,no
rank_stmt,RankExpr,ASR_DIALECT_OP_RANK_STMT_RANKEXPR,asr.rank_expr,yes,yes,unsupported,no
require_instantiation,Require,ASR_DIALECT_OP_REQUIRE_INSTANTIATION_REQUIRE,asr.require,yes,yes,unsupported,no
stmt,Allocate,ASR_DIALECT_OP_STMT_ALLOCATE,asr.allocate,yes,yes,implemented,focus
stmt,Assert,ASR_DIALECT_OP_STMT_ASSERT,asr.assert,yes,yes,unsupported,no
stmt,Assign,ASR_DIALECT_OP_STMT_ASSIGN,asr.assign,yes,yes,unsupported,no
stmt,Assignment,ASR_DIALECT_OP_STMT_ASSIGNMENT,asr.assignment,yes,yes,implemented,focus
stmt,Associate,ASR_DIALECT_OP_STMT_ASSOCIATE,asr.associate,yes,yes,unsupported,no
stmt,AssociateBlockCall,ASR_DIALECT_OP_STMT_ASSOCIATEBLOCKCALL,asr.associate_block_call,yes,yes,unsupported,no
stmt,BlockCall,ASR_DIALECT_OP_STMT_BLOCKCALL,asr.block_call,yes,yes,unsupported,no
stmt,CPtrToPointer,ASR_DIALECT_OP_STMT_CPTRTOPOINTER,asr.c_ptr_to_pointer,yes,yes,unsupported,no
stmt,Cycle,ASR_DIALECT_OP_STMT_CYCLE,asr.cycle,yes,yes,unsupported,no
stmt,DebugCheckArrayBounds,ASR_DIALECT_OP_STMT_DEBUGCHECKARRAYBOUNDS,asr.debug_check_array_bounds,yes,yes,unsupported,no
stmt,DictClear,ASR_DIALECT_OP_STMT_DICTCLEAR,asr.dict_clear,yes,yes,unsupported,no
stmt,DictInsert,ASR_DIALECT_OP_STMT_DICTINSERT,asr.dict_insert,yes,yes,unsupported,no
stmt,DoConcurrentLoop,ASR_DIALECT_OP_STMT_DOCONCURRENTLOOP,asr.do_concurrent_loop,yes,yes,unsupported,no
stmt,DoLoop,ASR_DIALECT_OP_STMT_DOLOOP,asr.do_loop,yes,yes,implemented,focus
stmt,ErrorStop,ASR_DIALECT_OP_STMT_ERRORSTOP,asr.error_stop,yes,yes,unsupported,no
stmt,Exit,ASR_DIALECT_OP_STMT_EXIT,asr.exit,yes,yes,unsupported,no
stmt,ExplicitDeallocate,ASR_DIALECT_OP_STMT_EXPLICITDEALLOCATE,asr.explicit_deallocate,yes,yes,unsupported,no
stmt,Expr,ASR_DIALECT_OP_STMT_EXPR,asr.expr,yes,yes,unsupported,no
stmt,FileBackspace,ASR_DIALECT_OP_STMT_FILEBACKSPACE,asr.file_backspace,yes,yes,unsupported,no
stmt,FileClose,ASR_DIALECT_OP_STMT_FILECLOSE,asr.file_close,yes,yes,unsupported,no
stmt,FileEndfile,ASR_DIALECT_OP_STMT_FILEENDFILE,asr.file_endfile,yes,yes,unsupported,no
stmt,FileInquire,ASR_DIALECT_OP_STMT_FILEINQUIRE,asr.file_inquire,yes,yes,unsupported,no
stmt,FileOpen,ASR_DIALECT_OP_STMT_FILEOPEN,asr.file_open,yes,yes,unsupported,no
stmt,FileRead,ASR_DIALECT_OP_STMT_FILEREAD,asr.file_read,yes,yes,unsupported,no
stmt,FileRewind,ASR_DIALECT_OP_STMT_FILEREWIND,asr.file_rewind,yes,yes,unsupported,no
stmt,FileWrite,ASR_DIALECT_OP_STMT_FILEWRITE,asr.file_write,yes,yes,unsupported,no
stmt,Flush,ASR_DIALECT_OP_STMT_FLUSH,asr.flush,yes,yes,unsupported,no
